Алтайский край,2317153
Амурская область,790044
Архангельская область,1092424
Астраханская область,1005782
Белгородская область,1549151
Брянская область,1192491
Владимирская область,1358416
Волгоградская область,2491036
Вологодская область,1160445
Воронежская область,2324205
Еврейская АО,158305
Забайкальский край,1059700
Ивановская область,997135
Иркутская область,2391193
Кабардино-Балкарская Республика,868350
Калининградская область,1012512
Калужская область,1002575
Камчатский край,313016
Карачаево-Черкесская Республика,465528
Кемеровская область,2657854
Кировская область,1262402
Костромская область,633385
Краснодарский край,5675462
Красноярский край,2866255
Курганская область,827166
Курская область,1104008
Ленинградская область,1875872
Липецкая область,1139371
Магаданская область,140149
Москва,12678079
Московская область,7690863
Мурманская область,741404
Ненецкий АО,44111
Нижегородская область,3202946
Новгородская область,596508
Новосибирская область,2798170
Омская область,1926665
Оренбургская область,1956835
Орловская область,733498
Пензенская область,1305563
Пермский край,2599260
Приморский край,1895868
Псковская область,626115
Республика Адыгея,463088
Республика Алтай,220181
Республика Башкортостан,4038151
Республика Бурятия,985937
Республика Дагестан,3110858
Республика Ингушетия,507061
Республика Калмыкия,271135
Республика Карелия,614064
Республика Коми,820473
Республика Крым,1912622
Республика Марий Эл,679417
Республика Мордовия,790197
Республика Саха (Якутия),971996
Республика Северная Осетия,696837
Республика Татарстан,3902642
Республика Тыва,327383
Республика Хакасия,534262
Ростовская область,4197821
Рязанская область,1108847
Самарская область,3179532
Санкт-Петербург,5398064
Саратовская область,2421895
Сахалинская область,488257
Свердловская область,4310681
Севастополь,449138
Смоленская область,934889
Ставропольский край,2803573
Тамбовская область,1006748
Тверская область,1260379
Томская область,1079271
Тульская область,1466127
Тюменская область,1537416
Удмуртская Республика,1500955
Ульяновская область,1229824
Хабаровский край,1315643
Ханты-Мансийский АО,1674676
Челябинская область,3466369
Чеченская Республика,1478726
Чувашская Республика,1217818
Чукотский АО,50288
Ямало-Ненецкий АО,544444
Ярославская область,1253389